YEAR,STATE,SEX,AGE,REGISTRATIONS
2022,Melaka,male,12-17,1013
2022,Melaka,male,18-24,339
2022,Melaka,male,25-29,429
2022,Melaka,male,30-34,338
2022,Melaka,male,35-39,310
2022,Melaka,male,40-44,218
2022,Melaka,male,45-49,170
2022,Melaka,male,50-54,148
2022,Melaka,male,55-59,123
2022,Melaka,male,60-64,143
2022,Melaka,male,65-69,115
2022,Melaka,male,70-74,108
2022,Melaka,male,75-79,62
2022,Melaka,male,80-84,34
2022,Melaka,male,85+,14
2022,Negeri Sembilan,female,0-12,12507
2022,Negeri Sembilan,female,12-17,1111
2022,Negeri Sembilan,female,18-24,324
2022,Negeri Sembilan,female,25-29,291
2022,Negeri Sembilan,female,30-34,261
2022,Negeri Sembilan,female,35-39,261
2022,Negeri Sembilan,female,40-44,243
2022,Negeri Sembilan,female,45-49,198
2022,Negeri Sembilan,female,50-54,193
2022,Negeri Sembilan,female,55-59,225
2022,Negeri Sembilan,female,60-64,259
2022,Negeri Sembilan,female,65-69,256
2022,Negeri Sembilan,female,70-74,200
2022,Negeri Sembilan,female,75-79,102
2022,Negeri Sembilan,female,80-84,79
2022,Negeri Sembilan,female,85+,52
2022,Negeri Sembilan,male,0-12,13144
2022,Negeri Sembilan,male,12-17,1277
2022,Negeri Sembilan,male,18-24,520
2022,Negeri Sembilan,male,25-29,514
2022,Negeri Sembilan,male,30-34,490
2022,Negeri Sembilan,male,35-39,466
2022,Negeri Sembilan,male,40-44,369
2022,Negeri Sembilan,male,45-49,278
2022,Negeri Sembilan,male,50-54,211
2022,Negeri Sembilan,male,55-59,216
2022,Negeri Sembilan,male,60-64,211
2022,Negeri Sembilan,male,65-69,216
2022,Negeri Sembilan,male,70-74,179
2022,Negeri Sembilan,male,75-79,84
2022,Negeri Sembilan,male,80-84,61
2022,Negeri Sembilan,male,85+,26
2022,Pahang,female,0-12,10572
2022,Pahang,female,12-17,1197
2022,Pahang,female,18-24,377
2022,Pahang,female,25-29,292
2022,Pahang,female,30-34,311
2022,Pahang,female,35-39,262
